algo,serie,taille,temps
counting,testset1,1000,0.00199461
counting,testset1,1000,0.002022743
counting,testset1,1000,0.001993895
counting,testset1,1000,0.001993895
counting,testset1,1000,0.001994848
counting,testset1,1000,0.001994848
counting,testset1,1000,0.001994133
counting,testset1,1000,0.001994371
counting,testset1,1000,0.002991438
counting,testset1,1000,0.001994133
quick,testset1,1000,0.001991987
quick,testset1,1000,0.001994133
quick,testset1,1000,0.001994848
quick,testset1,1000,0.001997709
quick,testset1,1000,0.001994848
quick,testset1,1000,0.000999689
quick,testset1,1000,0.001995087
quick,testset1,1000,0.001994133
quick,testset1,1000,0.001995087
quick,testset1,1000,0.00202322
quickSeuil,testset1,1000,0.00199461
quickSeuil,testset1,1000,0.000997543
quickSeuil,testset1,1000,0.001994133
quickSeuil,testset1,1000,0.001994848
quickSeuil,testset1,1000,0.00199461
quickSeuil,testset1,1000,0.001992226
quickSeuil,testset1,1000,0.001967192
quickSeuil,testset1,1000,0.001994848
quickSeuil,testset1,1000,0.001994371
quickSeuil,testset1,1000,0.001997471
quickRandomSeuil,testset1,1000,0.001695538
quickRandomSeuil,testset1,1000,0.001695442
quickRandomSeuil,testset1,1000,0.00169549
quickRandomSeuil,testset1,1000,0.001695371
quickRandomSeuil,testset1,1000,0.001694703
quickRandomSeuil,testset1,1000,0.001695466
quickRandomSeuil,testset1,1000,0.001698184
quickRandomSeuil,testset1,1000,0.001695442
quickRandomSeuil,testset1,1000,0.00169549
quickRandomSeuil,testset1,1000,0.001795077
counting,testset1,5000,0.010970354
counting,testset1,5000,0.009972572
counting,testset1,5000,0.010970354
counting,testset1,5000,0.010970354
counting,testset1,5000,0.011996031
counting,testset1,5000,0.010002851
counting,testset1,5000,0.010971069
counting,testset1,5000,0.009975195
counting,testset1,5000,0.010943174
counting,testset1,5000,0.010970831
quick,testset1,5000,0.011950254
quick,testset1,5000,0.011970282
quick,testset1,5000,0.0109694
quick,testset1,5000,0.011967421
quick,testset1,5000,0.010970592
quick,testset1,5000,0.010968208
quick,testset1,5000,0.010971785
quick,testset1,5000,0.011970282
quick,testset1,5000,0.01195693
quick,testset1,5000,0.010970116
quickSeuil,testset1,5000,0.011996746
quickSeuil,testset1,5000,0.011967659
quickSeuil,testset1,5000,0.011967659
quickSeuil,testset1,5000,0.01196599
quickSeuil,testset1,5000,0.01196909
quickSeuil,testset1,5000,0.010970592
quickSeuil,testset1,5000,0.009975672
quickSeuil,testset1,5000,0.010970354
quickSeuil,testset1,5000,0.010970831
quickSeuil,testset1,5000,0.011968136
quickRandomSeuil,testset1,5000,0.010771132
quickRandomSeuil,testset1,5000,0.011269951
quickRandomSeuil,testset1,5000,0.010970998
quickRandomSeuil,testset1,5000,0.010771203
quickRandomSeuil,testset1,5000,0.011269522
quickRandomSeuil,testset1,5000,0.011170077
quickRandomSeuil,testset1,5000,0.011266851
quickRandomSeuil,testset1,5000,0.01097033
quickRandomSeuil,testset1,5000,0.010970163
quickRandomSeuil,testset1,5000,0.01087091
counting,testset1,10000,0.02094388
counting,testset1,10000,0.019946098
counting,testset1,10000,0.02094388
counting,testset1,10000,0.019946814
counting,testset1,10000,0.019949436
counting,testset1,10000,0.02094388
counting,testset1,10000,0.020943642
counting,testset1,10000,0.019948006
counting,testset1,10000,0.019976139
counting,testset1,10000,0.020939589
quick,testset1,10000,0.025957346
quick,testset1,10000,0.025935173
quick,testset1,10000,0.022936821
quick,testset1,10000,0.022934675
quick,testset1,10000,0.023936033
quick,testset1,10000,0.026928425
quick,testset1,10000,0.0249331
quick,testset1,10000,0.02593112
quick,testset1,10000,0.023935795
quick,testset1,10000,0.023934841
quickSeuil,testset1,10000,0.025933266
quickSeuil,testset1,10000,0.025929689
quickSeuil,testset1,10000,0.023936987
quickSeuil,testset1,10000,0.023934841
quickSeuil,testset1,10000,0.023938894
quickSeuil,testset1,10000,0.024936676
quickSeuil,testset1,10000,0.02593112
quickSeuil,testset1,10000,0.0249331
quickSeuil,testset1,10000,0.02393651
quickSeuil,testset1,10000,0.023936272
quickRandomSeuil,testset1,10000,0.024235058
quickRandomSeuil,testset1,10000,0.024334836
quickRandomSeuil,testset1,10000,0.024235082
quickRandomSeuil,testset1,10000,0.02373693
quickRandomSeuil,testset1,10000,0.02403543
quickRandomSeuil,testset1,10000,0.02423172
quickRandomSeuil,testset1,10000,0.024238038
quickRandomSeuil,testset1,10000,0.02413547
quickRandomSeuil,testset1,10000,0.024534035
quickRandomSeuil,testset1,10000,0.024032617
counting,testset1,50000,0.103720665
counting,testset1,50000,0.104688406
counting,testset1,50000,0.10369277
counting,testset1,50000,0.102729321
counting,testset1,50000,0.103693008
counting,testset1,50000,0.101757288
counting,testset1,50000,0.10371995
counting,testset1,50000,0.101739645
counting,testset1,50000,0.10169816
counting,testset1,50000,0.101723671
